Season,No. in series,No. in season,Title_Text,Title_Link,Original air date,U.S. viewers (millions)
Season 2,25,16,"""It's the End of the World""",https://greysanatomy.fandom.com/wiki/It%27s_the_End_of_the_World,"February 5, 2006",37.88
Season 2,26,17,"""As We Know It""",https://greysanatomy.fandom.com/wiki/As_We_Know_It,"February 12, 2006",25.42
Season 2,27,18,"""Yesterday""",https://greysanatomy.fandom.com/wiki/Yesterday,"February 19, 2006",24.36
Season 2,28,19,"""What Have I Done to Deserve This?""",https://greysanatomy.fandom.com/wiki/What_Have_I_Done_to_Deserve_This%3F,"February 26, 2006",24.76
Season 2,29,20,"""Band-Aid Covers the Bullet Hole""",https://greysanatomy.fandom.com/wiki/Band-Aid_Covers_the_Bullet_Hole,"March 12, 2006",22.51
Season 2,30,21,"""Superstition""",https://greysanatomy.fandom.com/wiki/Superstition,"March 19, 2006",21.13
Season 2,31,22,"""The Name of the Game""",https://greysanatomy.fandom.com/wiki/The_Name_of_the_Game,"April 2, 2006",22.35
Season 2,32,23,"""Blues for Sister Someone""",https://greysanatomy.fandom.com/wiki/Blues_for_Sister_Someone,"April 30, 2006",20.76
Season 2,33,24,"""Damage Case""",https://greysanatomy.fandom.com/wiki/Damage_Case,"May 7, 2006",21.99
Season 2,34,25,"""17 Seconds""",https://greysanatomy.fandom.com/wiki/17_Seconds,"May 14, 2006",22.6
Season 2,35,26,"""Deterioration of the Fight or Flight Response""",https://greysanatomy.fandom.com/wiki/Deterioration_of_the_Fight_or_Flight_Response,"May 15, 2006",22.5
Season 2,36,27,"""Losing My Religion""",https://greysanatomy.fandom.com/wiki/Losing_My_Religion,"May 15, 2006",22.5
Season 3,37,1,"""Time Has Come Today""",https://greysanatomy.fandom.com/wiki/Time_Has_Come_Today,"September 21, 2006",25.41
Season 3,38,2,"""I Am a Tree""",https://greysanatomy.fandom.com/wiki/I_Am_a_Tree,"September 28, 2006",23.48
Season 3,39,3,"""Sometimes a Fantasy""",https://greysanatomy.fandom.com/wiki/Sometimes_a_Fantasy,"October 5, 2006",22.8
Season 3,40,4,"""What I Am""",https://greysanatomy.fandom.com/wiki/What_I_Am,"October 12, 2006",22.88
Season 3,41,5,"""Oh, the Guilt""","https://greysanatomy.fandom.com/wiki/Oh,_the_Guilt","October 19, 2006",22.05
Season 3,42,6,"""Let the Angels Commit""",https://greysanatomy.fandom.com/wiki/Let_the_Angels_Commit,"November 2, 2006",21.02
Season 3,43,7,"""Where the Boys Are""",https://greysanatomy.fandom.com/wiki/Where_the_Boys_Are,"November 9, 2006",20.65
Season 3,44,8,"""Staring at the Sun""",https://greysanatomy.fandom.com/wiki/Staring_at_the_Sun,"November 16, 2006",20.92
Season 3,45,9,"""From a Whisper to a Scream""",https://greysanatomy.fandom.com/wiki/From_a_Whisper_to_a_Scream,"November 23, 2006",18.51
Season 3,46,10,"""Don't Stand So Close to Me""",https://greysanatomy.fandom.com/wiki/Don%27t_Stand_So_Close_to_Me,"November 30, 2006",24.01
Season 3,47,11,"""Six Days, Part 1""","https://greysanatomy.fandom.com/wiki/Six_Days,_Part_1","January 11, 2007",23.03
Season 3,48,12,"""Six Days, Part 2""","https://greysanatomy.fandom.com/wiki/Six_Days,_Part_2","January 18, 2007",21.94
Season 3,49,13,"""Great Expectations""",https://greysanatomy.fandom.com/wiki/Great_Expectations,"January 25, 2007",21.5
Season 3,50,14,"""Wishin' and Hopin'""",https://greysanatomy.fandom.com/wiki/Wishin%27_and_Hopin%27,"February 1, 2007",24.18
Season 3,51,15,"""Walk on Water""",https://greysanatomy.fandom.com/wiki/Walk_on_Water,"February 8, 2007",25.2
Season 3,52,16,"""Drowning on Dry Land""",https://greysanatomy.fandom.com/wiki/Drowning_on_Dry_Land,"February 15, 2007",25.76
Season 3,53,17,"""Some Kind of Miracle""",https://greysanatomy.fandom.com/wiki/Some_Kind_of_Miracle,"February 22, 2007",27.39
Season 3,54,18,"""Scars and Souvenirs""",https://greysanatomy.fandom.com/wiki/Scars_and_Souvenirs,"March 15, 2007",22.68
Season 3,55,19,"""My Favorite Mistake""",https://greysanatomy.fandom.com/wiki/My_Favorite_Mistake,"March 22, 2007",22.3
